	mc
WMC2493211	33
WMC2493219	35
WMC2493224	32
WMC2493229	21
WMC2493231	23
WMC2493238	31
WMC2493244	31
WMC2493245	7
WMC2493247	15
WMC2493248	23
WMC2493256	10
WMC2493263	30
WMC2493264	34
WMC2493265	35
WMC2493266	30
WMC2493267	35
WMC2493287	33
WMC2493308	21
WMC2493309	23
WMC2493311	33
WMC2493331	23
WMC2493333	33
WMC2493339	30
WMC2493345	2
WMC2493351	8
WMC2493352	32
WMC2493366	14
WMC2493372	35
WMC2493389	13
WMC2493391	30
WMC2493398	33
WMC2493405	32
WMC2493407	23
WMC2493415	33
WMC2493416	35
WMC2493420	34
WMC2493426	31
WMC2493431	31
WMC2493433	32
WMC2493436	23
WMC2493452	34
WMC2493453	23
WMC2493474	27
WMC2493475	26
WMC2493476	28
WMC2493477	26
WMC2493479	25
WMC2493482	26
WMC2493483	27
WMC2493484	26
WMC2493488	28
WMC2493489	25
WMC2493491	25
WMC2493493	24
WMC2493494	25
WMC2493495	23
WMC2493496	29
WMC2493497	26
WMC2493498	28
WMC2493499	27
WMC2493500	29
WMC2493501	28
WMC2493505	24
WMC2493507	26
WMC2493508	25
WMC2493509	29
WMC2493510	29
WMC2493511	27
WMC2493512	26
WMC2493513	24
WMC2493514	27
WMC2493516	25
WMC2493517	29
WMC2493518	24
WMC2493519	24
WMC2493520	29
WMC2493521	26
WMC2493522	27
WMC2493523	28
WMC2493524	25
WMC2493526	29
WMC2493527	28
WMC2493528	25
WMC2493529	24
WMC2493530	25
WMC2493531	26
WMC2493532	29
WMC2493533	26
WMC2493535	23
WMC2493538	29
WMC2493540	24
WMC2493541	26
WMC2493542	29
WMC2493546	25
WMC2493547	23
WMC2493548	26
WMC2493549	28
WMC2493551	28
WMC2493552	27
WMC2493553	26
WMC2493554	29
WMC2493556	25
WMC2493557	28
WMC2493558	29
WMC2493560	28
WMC2493561	23
WMC2493562	28
WMC2493564	24
WMC2493565	23
WMC2493566	28
WMC2493581	29
WMC2493582	26
WMC2493583	26
WMC2493584	27
WMC2493585	29
WMC2493596	25
WMC2493597	27
WMC2493601	24
WMC2493603	29
WMC2493606	28
WMC2493607	25
WMC2493610	26
WMC2493611	25
WMC2493614	28
WMC2493618	25
WMC2493620	28
WMC2493621	24
WMC2493623	28
WMC2493624	29
WMC2493627	28
WMC2493628	23
WMC2493629	26
WMC2493632	28
WMC2493634	25
WMC2493635	28
WMC2493636	25
WMC2493637	24
WMC2493641	24
WMC2493643	28
WMC2493646	27
WMC2493647	25
WMC2493648	24
WMC2493650	25
WMC2493651	29
WMC2493652	27
WMC2493655	24
WMC2493656	29
WMC2493661	29
WMC2493662	27
WMC2493664	27
WMC2493671	26
WMC2493673	28
WMC2493678	26
WMC2493679	28
WMC2493680	25
WMC2493682	28
WMC2493683	29
WMC2493686	28
WMC2493687	26
WMC2493688	29
WMC2493689	23
WMC2493690	26
WMC2493691	26
WMC2493692	26
WMC2493695	28
WMC2493699	25
WMC2493700	26
WMC2493701	25
WMC2493702	26
WMC2493705	26
WMC2493706	24
WMC2493710	23
WMC2493711	24
WMC2493714	25
WMC2493715	24
WMC2493717	25
WMC2493718	24
WMC2493721	28
WMC2493722	24
WMC2493723	26
WMC2493729	29
WMC2493730	26
WMC2493734	28
WMC2493735	27
WMC2493737	25
WMC2493740	26
