	mc
WMC2375616	102
WMC2375617	104
WMC2375618	91
WMC2375619	119
WMC2375620	115
WMC2375621	41
WMC2375622	80
WMC2375624	87
WMC2375625	98
WMC2375626	73
WMC2375627	88
WMC2375628	97
WMC2375629	99
WMC2375630	83
WMC2375631	100
WMC2375632	62
WMC2375633	108
WMC2375635	70
WMC2375636	53
WMC2375637	98
WMC2375638	81
WMC2375639	104
WMC2375641	1
WMC2375643	100
WMC2375644	57
WMC2375645	104
WMC2375646	93
WMC2375648	92
WMC2375649	117
WMC2375651	101
WMC2375652	115
WMC2375653	87
WMC2375654	65
WMC2375656	105
WMC2375657	78
WMC2375658	89
WMC2375660	114
WMC2375661	100
WMC2375662	113
WMC2375663	92
WMC2375668	103
WMC2375671	98
WMC2375672	93
WMC2375673	1
WMC2375674	120
WMC2375675	98
WMC2375676	109
WMC2375677	98
WMC2375678	81
WMC2375679	86
WMC2375680	99
WMC2375681	84
WMC2375682	99
WMC2375683	5
WMC2375684	87
WMC2375686	81
WMC2375687	104
WMC2375689	64
WMC2375690	95
WMC2375691	74
WMC2375693	1
WMC2375697	109
WMC2375698	104
WMC2375705	89
WMC2375706	91
WMC2375708	99
WMC2375709	98
WMC2375710	83
WMC2375711	88
WMC2375712	102
WMC2375713	95
WMC2375714	54
WMC2375715	89
WMC2375716	91
WMC2375718	104
WMC2375719	115
WMC2375720	92
WMC2375721	83
WMC2375723	76
WMC2375724	81
WMC2375726	95
WMC2375727	79
WMC2375730	67
WMC2375731	75
WMC2375732	96
WMC2375733	99
WMC2375734	89
WMC2375735	80
WMC2375737	89
WMC2375738	107
WMC2375739	108
WMC2375740	73
WMC2375741	102
WMC2375743	104
WMC2375744	101
WMC2375745	91
WMC2375746	95
WMC2375749	101
WMC2375751	116
WMC2375755	91
WMC2375756	110
WMC2375758	99
WMC2375759	87
WMC2375760	95
WMC2375761	99
WMC2375764	93
WMC2375766	98
WMC2375767	49
WMC2375768	80
WMC2375769	92
WMC2375770	102
WMC2375772	100
WMC2375773	62
WMC2375774	90
WMC2375775	117
WMC2375776	42
WMC2375777	89
WMC2375782	106
WMC2375785	73
WMC2375786	86
WMC2375788	72
WMC2375789	110
WMC2375792	108
WMC2375793	80
WMC2375795	92
WMC2375797	108
WMC2375798	101
WMC2375800	98
WMC2375801	100
WMC2375803	87
WMC2375804	98
WMC2375806	73
WMC2375807	72
WMC2375808	101
WMC2375813	87
WMC2375814	121
WMC2375815	93
WMC2375816	1
WMC2375818	90
WMC2375820	91
WMC2375821	104
WMC2375822	91
WMC2375823	74
WMC2375824	106
WMC2375825	104
WMC2375829	95
WMC2375830	107
WMC2375831	75
WMC2375833	56
WMC2375835	89
WMC2375836	102
WMC2375838	118
WMC2375839	120
WMC2375840	95
WMC2375841	76
WMC2375845	105
WMC2375847	58
WMC2375848	122
WMC2375849	109
WMC2375851	104
WMC2375852	115
WMC2375853	106
WMC2375855	102
WMC2375858	82
WMC2375860	117
WMC2375861	92
WMC2375862	91
WMC2375863	59
WMC2375865	101
WMC2375866	103
WMC2375867	75
WMC2375870	60
WMC2375871	107
WMC2375872	56
WMC2375874	87
WMC2375875	101
WMC2375877	106
WMC2375879	87
WMC2375881	82
WMC2375883	107
WMC2375886	106
WMC2375887	101
WMC2375888	89
WMC2375889	85
WMC2375890	82
WMC2375892	51
WMC2375895	120
WMC2375896	52
WMC2375898	89
WMC2375899	110
WMC2375903	100
WMC2375904	39
WMC2375906	63
WMC2375908	88
WMC2375909	114
WMC2375910	71
WMC2375911	64
WMC2375912	82
WMC2375913	103
WMC2375914	103
WMC2375916	78
WMC2375918	110
WMC2375922	62
WMC2375924	117
WMC2375925	89
WMC2375926	99
WMC2375927	95
WMC2375930	64
WMC2375931	91
WMC2375932	100
WMC2375933	92
WMC2375934	81
WMC2375935	75
WMC2375937	108
WMC2375939	39
WMC2375940	103
WMC2375942	77
WMC2375944	100
WMC2375945	86
WMC2375947	103
WMC2375949	79
WMC2375951	114
WMC2375953	118
WMC2375954	92
WMC2375955	99
WMC2375956	93
WMC2375957	116
WMC2375958	45
WMC2375960	88
WMC2375961	84
WMC2375962	92
WMC2375963	93
WMC2375965	89
WMC2375966	87
WMC2375967	52
