	mc
WMC2374244	206
WMC2374245	171
WMC2374246	87
WMC2374247	170
WMC2374249	200
WMC2374250	208
WMC2374251	214
WMC2374252	206
WMC2374253	174
WMC2374254	178
WMC2374256	208
WMC2374257	208
WMC2374258	169
WMC2374259	216
WMC2374260	182
WMC2374261	209
WMC2374262	179
WMC2374263	140
WMC2374264	204
WMC2374266	173
WMC2374267	123
WMC2374268	218
WMC2374269	93
WMC2374270	173
WMC2374271	202
WMC2374272	186
WMC2374273	183
WMC2374275	208
WMC2374276	170
WMC2374277	208
WMC2374278	85
WMC2374279	217
WMC2374281	167
WMC2374282	208
WMC2374285	180
WMC2374286	166
WMC2374287	177
WMC2374291	80
WMC2374292	204
WMC2374293	77
WMC2374294	181
WMC2374295	123
WMC2374296	170
WMC2374297	74
WMC2374299	184
WMC2374300	162
WMC2374302	163
WMC2374303	198
WMC2374304	87
WMC2374305	83
WMC2374307	214
WMC2374308	179
WMC2374309	162
WMC2374310	217
WMC2374312	217
WMC2374313	171
WMC2374315	99
WMC2374316	204
WMC2374317	218
WMC2374318	173
WMC2374319	163
WMC2374320	166
WMC2374321	210
WMC2374322	179
WMC2374324	79
WMC2374325	167
WMC2374326	212
WMC2374327	168
WMC2374328	199
WMC2374329	189
WMC2374330	165
WMC2374331	165
WMC2374332	140
WMC2374333	186
WMC2374334	217
WMC2374335	71
WMC2374337	128
WMC2374338	172
WMC2374339	185
WMC2374340	74
WMC2374341	207
WMC2374342	148
WMC2374343	167
WMC2374345	120
WMC2374346	209
WMC2374347	175
WMC2374348	182
WMC2374349	185
WMC2374350	206
WMC2374351	99
WMC2374352	169
WMC2374353	168
WMC2374354	197
WMC2374355	84
WMC2374356	170
WMC2374357	204
WMC2374358	92
WMC2374359	184
WMC2374360	90
WMC2374361	207
WMC2374363	97
WMC2374364	158
WMC2374365	162
WMC2374366	168
WMC2374367	166
WMC2374368	199
WMC2374369	159
WMC2374370	90
WMC2374372	73
WMC2374373	179
WMC2374374	173
WMC2374375	166
WMC2374376	186
WMC2374377	182
WMC2374380	176
WMC2374381	178
WMC2374382	173
WMC2374383	185
WMC2374384	218
WMC2374385	83
WMC2374386	163
WMC2374387	210
WMC2374389	177
WMC2374390	163
WMC2374393	178
WMC2374394	208
WMC2374395	162
WMC2374396	113
WMC2374397	207
WMC2374398	165
WMC2374399	183
WMC2374400	164
WMC2374403	133
WMC2374404	184
WMC2374407	218
WMC2374408	208
WMC2374409	142
WMC2374410	186
WMC2374411	93
WMC2374412	87
WMC2374413	194
WMC2374414	183
WMC2374415	211
WMC2374416	76
WMC2374417	188
WMC2374418	175
WMC2374419	163
WMC2374420	172
WMC2374422	165
WMC2374423	80
WMC2374424	196
WMC2374425	90
WMC2374426	165
WMC2374427	84
WMC2374428	166
WMC2374429	76
WMC2374430	75
WMC2374431	186
WMC2374432	121
WMC2374823	136
WMC2374826	98
WMC2374830	138
WMC2374831	146
WMC2374834	196
WMC2374835	154
WMC2374836	138
WMC2374838	156
WMC2374840	180
WMC2374844	216
WMC2374845	126
WMC2374847	187
WMC2374850	130
WMC2374851	190
WMC2374852	114
WMC2374853	143
WMC2374854	9
WMC2374855	130
WMC2374859	10
WMC2374860	83
WMC2374861	200
WMC2374863	97
WMC2374864	113
WMC2374867	174
WMC2374869	115
WMC2374870	83
WMC2374871	137
WMC2374872	138
WMC2374875	131
WMC2374879	113
WMC2374882	119
WMC2374884	139
WMC2374886	162
WMC2374887	216
WMC2374888	152
WMC2374892	172
WMC2374893	89
WMC2374894	119
WMC2374902	149
WMC2374904	200
WMC2374906	112
WMC2374907	146
WMC2374908	201
WMC2374909	161
WMC2374911	71
WMC2374914	186
WMC2374916	123
WMC2374919	73
WMC2374922	139
WMC2374924	154
WMC2374926	111
WMC2374928	79
WMC2374931	81
WMC2374933	89
WMC2374936	161
WMC2374942	139
WMC2374947	161
WMC2374951	215
WMC2374952	159
WMC2374956	201
WMC2374958	82
WMC2374959	157
WMC2374963	191
WMC2374964	154
WMC2374965	73
WMC2374970	148
WMC2374979	123
WMC2374982	120
WMC2374984	118
WMC2374988	145
WMC2374989	159
WMC2374990	122
WMC2374992	133
WMC2374996	208
WMC2374997	118
WMC2374998	104
WMC2375004	145
WMC2375010	72
WMC2375018	152
WMC2375024	138
WMC2375028	95
WMC2375029	110
WMC2375030	103
WMC2375034	164
WMC2375039	139
WMC2375040	84
WMC2375043	135
WMC2375044	175
WMC2375045	215
WMC2375046	145
WMC2375047	82
WMC2375049	102
WMC2375053	176
WMC2375060	104
WMC2375064	158
WMC2375075	161
WMC2375076	129
WMC2375080	113
WMC2375081	116
WMC2375084	163
WMC2375085	214
WMC2375092	155
WMC2375095	159
WMC2375098	149
WMC2375101	131
WMC2375105	72
WMC2375106	154
WMC2375111	203
WMC2375114	159
WMC2375117	98
WMC2375118	144
WMC2375119	75
WMC2375127	178
WMC2375131	162
WMC2375134	123
WMC2375141	146
WMC2375143	72
WMC2375144	84
WMC2375145	208
WMC2375151	111
WMC2375152	129
WMC2375153	170
WMC2375154	149
WMC2375157	137
WMC2375161	83
WMC2375163	126
WMC2375166	166
WMC2375169	189
WMC2375171	116
WMC2375175	130
WMC2375176	152
WMC2375180	152
WMC2375183	189
WMC2375184	96
WMC2375185	109
WMC2375186	203
WMC2375189	150
WMC2375191	89
WMC2375193	186
WMC2375196	156
WMC2375197	90
WMC2375201	58
WMC2375202	24
WMC2375204	17
WMC2375206	1
WMC2375207	63
WMC2375209	49
WMC2375210	50
WMC2375212	61
WMC2375213	60
WMC2375214	53
WMC2375215	24
WMC2375216	67
WMC2375217	48
WMC2375218	69
WMC2375219	14
WMC2375220	55
WMC2375221	20
WMC2375222	36
WMC2375223	50
WMC2375224	69
WMC2375225	64
WMC2375226	53
WMC2375227	56
WMC2375228	58
WMC2375229	55
WMC2375230	52
WMC2375231	65
WMC2375232	15
WMC2375234	53
WMC2375235	65
WMC2375236	41
WMC2375237	40
WMC2375238	65
WMC2375240	46
WMC2375241	59
WMC2375242	15
WMC2375243	40
WMC2375244	64
WMC2375245	52
WMC2375247	69
WMC2375248	58
WMC2375249	52
WMC2375250	22
WMC2375251	2
WMC2375253	20
WMC2375254	14
WMC2375255	61
WMC2375257	1
WMC2375259	16
WMC2375260	66
WMC2375261	59
WMC2375264	3
WMC2375265	24
WMC2375266	16
WMC2375268	58
WMC2375269	40
WMC2375270	59
WMC2375272	47
WMC2375273	1
WMC2375274	60
WMC2375276	65
WMC2375279	25
WMC2375283	68
WMC2375284	34
WMC2375286	16
WMC2375287	24
WMC2375289	15
WMC2375291	68
WMC2375292	53
WMC2375293	13
WMC2375294	55
WMC2375295	58
WMC2375297	53
WMC2375300	49
WMC2375301	65
