	mc
WMC3416566	12
WMC3416567	3
WMC3416571	31
WMC3416572	7
WMC3416576	8
WMC3416577	23
WMC3416582	33
WMC3416583	2
WMC3416584	46
WMC3416585	34
WMC3416586	3
WMC3416587	2
WMC3416588	10
WMC3416589	11
WMC3416592	45
WMC3416593	3
WMC3416595	48
WMC3416596	49
WMC3416597	16
WMC3416599	47
WMC3416601	23
WMC3423907	57
WMC3423911	51
WMC3423914	53
WMC3423921	53
WMC3423923	52
WMC3423924	42
WMC3423926	57
WMC3423928	54
WMC3423930	53
WMC3423931	53
WMC3423932	53
WMC3423934	52
WMC3423936	52
WMC3423939	56
WMC3423942	51
WMC3423943	53
WMC3423946	52
WMC3423949	58
WMC3423951	51
WMC3423954	54
WMC3423955	53
WMC3423957	54
WMC3423958	51
WMC3423959	59
WMC3423960	53
WMC3423962	53
WMC3423964	52
WMC3423965	54
WMC3423966	52
WMC3423967	52
WMC3423968	57
WMC3423970	53
WMC3423971	59
WMC3423972	52
WMC3423973	50
WMC3423974	54
WMC3423975	53
WMC3423980	57
WMC3423981	57
WMC3423982	52
WMC3423985	53
WMC3423987	51
WMC3423989	53
WMC3423990	56
WMC3423991	56
WMC3423992	54
WMC3423993	53
WMC3423994	56
WMC3423996	51
WMC3423999	56
WMC3424002	17
WMC3424004	52
WMC3424005	57
WMC3424006	53
WMC3424012	59
WMC3424013	53
WMC3424014	52
WMC3424020	52
WMC3424021	56
WMC3424023	53
WMC3424024	51
WMC3424025	53
WMC3424027	59
WMC3424029	56
WMC3424031	53
WMC3424032	57
WMC3424034	52
WMC3424036	53
WMC3424038	57
WMC3424039	51
WMC3424040	52
WMC3424043	54
WMC3424044	54
WMC3424045	51
WMC3424047	52
WMC3424049	52
WMC3424052	54
WMC3424053	57
WMC3424055	53
WMC3424056	54
WMC3424058	52
WMC3424060	59
WMC3424063	52
WMC3424068	53
WMC3424070	52
WMC3424071	57
WMC3424072	53
WMC3424074	54
WMC3424078	52
WMC3424081	52
WMC3424084	54
WMC3424085	53
WMC3424086	52
WMC3424090	53
WMC3424091	49
WMC3424094	53
WMC3424095	53
WMC3424099	53
WMC3424101	57
WMC3424103	51
WMC3424108	52
WMC3424109	53
WMC3424110	51
WMC3424111	52
WMC3424114	26
WMC3424115	57
WMC3424116	58
WMC3424118	57
WMC3424119	57
WMC3424121	45
WMC3424123	57
WMC3424126	53
WMC3424128	57
WMC3424131	58
WMC3424133	53
WMC3424135	57
WMC3424139	53
WMC3424141	54
WMC3424144	25
WMC3424149	57
WMC3424151	53
WMC3424152	53
WMC3424153	53
WMC3424154	54
WMC3424156	54
WMC3424158	53
WMC3424159	52
WMC3424161	51
WMC3424165	54
WMC3424169	52
WMC3424171	57
WMC3424173	53
WMC3424174	54
WMC3424177	57
WMC3424178	56
WMC3424180	53
WMC3424184	52
WMC3424185	52
WMC3424186	59
WMC3424188	52
WMC3424190	52
WMC3424191	52
WMC3424192	52
WMC3424195	52
WMC3424197	51
WMC3424198	59
WMC3424199	56
WMC3424202	59
WMC3424204	56
WMC3424210	54
WMC3424211	59
WMC3424212	52
WMC3424216	58
WMC3424217	52
WMC3424219	57
WMC3424220	53
WMC3424221	53
WMC3424222	45
WMC3424224	54
WMC3424225	53
WMC3424227	51
WMC3424229	53
WMC3424230	53
WMC3424231	52
WMC3424235	54
WMC3424236	54
WMC3424237	54
WMC3424238	52
WMC3424239	53
WMC3424240	53
WMC3424243	59
WMC3424245	53
WMC3424247	53
WMC3424248	52
WMC3424252	57
WMC3424253	51
WMC3424254	56
WMC3424255	52
WMC3424256	36
WMC3424257	53
WMC3424258	53
WMC3424259	51
WMC3424260	52
WMC3424261	52
WMC3424264	56
WMC3424265	51
WMC3424266	36
